max,min,mean,std,median
163.4000,109.8000,140.7350,12.0529,142.2000
168.4000,113.4000,150.0650,11.7354,152.1000
170.6000,125.4000,155.2850,10.8833,157.5000
171.2000,126.2000,158.0900,10.0078,159.5000
170.8000,132.2000,159.6150,8.9714,161.9000
171.8000,135.6000,161.3550,8.3620,163.2000
172.8000,135.2000,161.9100,8.6175,163.3000
173.0000,135.2000,163.2150,8.5645,165.7000
172.8000,141.6000,163.9650,7.7459,165.9000
172.8000,141.0000,163.9750,8.3960,167.4000
173.6000,138.4000,163.5700,9.0064,166.8000
173.0000,151.4000,166.5000,5.7000,167.8000
173.4000,147.8000,166.1100,6.2800,167.2000
173.4000,153.8000,166.4400,4.5326,167.0000
173.6000,144.0000,166.7750,5.8481,167.9000
173.4000,146.6000,167.0700,5.5133,168.2000
174.2000,153.0000,166.9700,4.5367,167.3000
172.8000,161.4000,168.2150,2.9208,168.3000
173.4000,159.4000,167.5700,3.8502,167.8000
174.2000,161.0000,168.1400,3.3461,168.1000
173.4000,160.0000,167.8000,3.7096,167.8000
173.0000,158.4000,167.6450,3.4506,167.9000
174.2000,160.6000,168.4650,3.3596,168.6000
173.8000,160.2000,168.1550,3.2764,168.3000
173.8000,160.8000,167.7250,3.7667,168.3000
174.2000,160.8000,168.3250,3.4296,168.2000
173.8000,160.8000,168.0950,2.9499,167.8000
173.4000,160.6000,168.0700,2.9642,168.0000
174.2000,159.6000,168.0100,3.5239,168.2000
174.2000,154.4000,168.2100,3.7431,168.2000
173.4000,160.8000,167.6650,3.4936,167.9000
174.0000,161.0000,168.3350,3.3806,168.5000
173.8000,160.8000,168.4150,3.3340,169.1000
174.0000,156.8000,168.3150,3.7921,168.8000
173.8000,159.0000,168.4850,3.3486,168.7000
174.4000,154.8000,168.6400,3.9572,169.1000
174.4000,160.4000,168.8150,3.0065,168.7000
174.2000,160.4000,168.9150,2.6104,168.8000
173.6000,166.4000,169.4600,2.1297,169.0000
174.4000,161.0000,169.0950,2.9687,169.2000
174.2000,163.0000,169.3900,2.6826,169.2000
174.0000,162.8000,168.7000,2.7863,168.5000
174.0000,161.2000,169.0750,2.8416,169.4000
174.4000,163.6000,169.2000,2.7398,169.3000
174.4000,161.0000,169.2050,2.8528,169.1000
174.4000,162.8000,169.0450,2.7788,169.0000
174.0000,166.2000,169.3150,2.3400,169.4000
174.2000,163.6000,168.9850,2.6188,168.8000
174.4000,164.8000,169.0050,2.4120,169.1000
173.6000,166.2000,169.0950,2.5152,169.1000
174.0000,164.8000,168.9200,2.6843,168.7000
173.8000,162.8000,168.6750,2.5137,168.6000
174.4000,166.2000,169.5300,2.3794,169.6000
174.4000,166.2000,169.2000,2.4983,169.0000
174.2000,166.2000,169.1750,2.4614,168.8000
174.4000,163.0000,169.2400,2.6923,169.2000
173.4000,160.2000,168.7900,2.7865,169.0000
174.4000,166.2000,169.2950,2.5844,168.9000
174.4000,165.8000,169.5000,2.4455,169.5000
174.4000,162.8000,168.3600,2.9974,167.4000
174.4000,161.4000,168.5600,2.7505,168.3000
174.4000,166.0000,169.0900,2.3617,169.1000
174.4000,166.2000,168.8850,2.3879,168.4000
174.4000,166.2000,169.0400,2.6859,168.9000
174.0000,162.8000,168.9550,2.7114,168.7000
174.4000,166.2000,169.2550,2.3668,168.8000
174.4000,166.2000,169.1850,2.5981,169.2000
174.4000,166.2000,168.8350,2.4866,168.6000
174.4000,164.2000,169.1850,2.5207,169.2000
174.4000,164.2000,169.3700,2.7249,169.6000
174.0000,163.0000,169.0350,2.8982,168.9000
174.4000,164.4000,169.1400,2.3557,168.5000
174.2000,157.2000,168.7700,3.5801,169.7000
174.0000,162.8000,169.3600,2.6184,169.5000
174.4000,162.8000,168.9300,2.6072,169.0000
173.4000,164.8000,169.1350,2.3669,169.2000
173.8000,161.4000,168.8950,3.1517,169.4000
173.6000,162.8000,169.0500,2.7551,169.6000
174.4000,163.0000,169.2000,2.6048,169.7000
174.0000,166.2000,168.9200,2.3422,168.5000
174.4000,161.6000,169.0450,2.8958,169.0000
174.0000,166.2000,169.1300,2.2873,168.9000
174.2000,162.6000,169.0300,2.7035,169.5000
173.6000,162.2000,168.3550,2.7542,167.9000
174.4000,166.2000,169.5400,2.4891,169.4000
174.4000,166.2000,169.3200,2.6140,168.8000
173.6000,163.8000,168.9050,2.5792,168.4000
174.4000,165.8000,169.3050,2.7057,169.4000
173.6000,166.2000,169.4200,2.2154,169.4000
174.4000,166.2000,169.3200,2.4071,169.0000
174.0000,166.2000,169.0900,2.4682,169.1000
174.4000,166.2000,169.0200,2.5197,168.8000
174.4000,166.2000,169.3850,2.3890,169.5000
173.0000,166.2000,168.9350,2.2774,168.7000
174.2000,162.8000,168.9300,2.6724,168.5000
174.4000,162.0000,169.0950,2.9088,168.8000
174.0000,166.2000,168.9650,2.5559,168.6000
174.2000,166.2000,169.0750,2.3681,168.6000
174.4000,166.2000,169.1950,2.5652,168.9000
174.4000,165.4000,168.9200,2.5341,169.0000
174.0000,166.2000,169.1900,2.4885,169.1000
173.8000,166.2000,169.3050,2.4369,169.4000
173.8000,166.2000,169.0650,2.3647,169.1000
174.4000,166.2000,169.4600,2.4413,169.5000
174.4000,166.2000,169.1050,2.5341,169.1000
174.2000,166.2000,169.4150,2.4084,169.0000
174.0000,166.2000,168.9800,2.4029,168.5000
173.6000,166.2000,169.0350,2.2950,169.0000
173.4000,163.4000,168.5300,2.4997,167.4000
174.4000,166.2000,168.9150,2.4303,168.4000
174.0000,166.2000,169.8750,2.2745,170.2000
174.4000,166.2000,169.2250,2.5395,168.6000
174.4000,166.2000,169.0900,2.5364,169.1000
174.4000,166.2000,169.0650,2.4190,169.0000
173.6000,166.2000,169.0300,2.1792,169.0000
174.4000,166.2000,168.4700,2.4993,167.4000
173.8000,166.2000,169.2800,2.3127,168.7000
174.0000,166.2000,168.7700,2.4504,168.5000
174.0000,166.2000,168.5950,2.5265,167.2000
174.0000,166.2000,168.9100,2.2807,168.8000
174.4000,166.2000,169.1050,2.3903,168.8000
174.0000,166.2000,169.0100,2.6081,168.7000
174.4000,166.2000,168.8300,2.4565,168.6000
174.0000,166.2000,169.0900,2.4831,169.0000
174.4000,166.2000,169.0150,2.5165,168.8000
174.4000,166.2000,169.6400,2.5756,169.0000
174.4000,166.2000,169.4700,2.3266,169.1000
174.2000,163.8000,168.9000,2.6194,168.6000
174.0000,166.2000,168.8150,2.3252,168.7000
174.4000,166.2000,168.9250,2.4089,168.8000
174.2000,166.2000,168.8950,2.3858,168.5000
174.0000,166.2000,169.2250,2.3118,168.7000
174.0000,165.8000,169.3000,2.4431,169.1000
174.4000,166.2000,169.0750,2.3114,168.7000
173.6000,164.4000,168.7250,2.5703,168.5000
174.4000,166.2000,169.4100,2.5216,169.0000
174.0000,166.2000,169.1750,2.3839,168.8000
174.4000,166.2000,169.4300,2.4832,169.4000
174.2000,166.2000,169.1600,2.5723,168.8000
174.4000,166.2000,169.5150,2.4410,169.7000
174.4000,166.2000,169.3650,2.5344,169.5000
173.8000,166.2000,169.1000,2.3239,168.9000
174.0000,166.2000,169.3350,2.4147,169.4000
173.8000,166.2000,169.3200,2.4512,169.4000
174.0000,166.2000,169.1300,2.3386,168.7000
174.4000,166.2000,169.1600,2.5524,168.7000
174.4000,166.2000,168.6300,2.3954,168.2000
173.6000,166.2000,169.1350,2.3898,168.8000
173.8000,162.2000,168.9500,2.7145,168.5000
174.4000,166.2000,169.0200,2.6223,168.6000
174.0000,166.2000,169.2250,2.5479,168.9000
174.4000,165.8000,169.1100,2.4493,168.8000
174.4000,165.8000,169.0450,2.6932,168.8000
174.0000,163.8000,168.9950,2.5235,168.9000
174.4000,164.2000,169.3100,2.6933,169.4000
174.0000,166.2000,168.6250,2.5473,167.8000
174.4000,166.2000,168.8050,2.4851,168.4000
174.4000,166.2000,169.2050,2.4544,168.8000
174.4000,163.8000,169.2200,2.6802,169.5000
174.4000,164.8000,169.0150,2.6434,168.9000
174.4000,166.2000,169.1700,2.4794,168.8000
174.0000,166.2000,168.8850,2.5126,168.6000
174.4000,166.2000,169.1500,2.5333,168.8000
174.4000,161.2000,168.9500,2.8168,168.9000
173.4000,162.2000,168.6050,2.6437,168.3000
174.0000,166.2000,169.1050,2.3391,168.7000
174.0000,166.2000,168.7600,2.4013,168.4000
173.8000,166.2000,168.6300,2.4191,168.4000
174.0000,166.2000,169.0050,2.5662,168.5000
174.0000,166.2000,169.1550,2.4624,168.6000
174.4000,166.2000,169.3100,2.5118,169.2000
174.4000,164.8000,168.8600,2.3856,168.8000
174.4000,166.2000,168.9300,2.5863,168.8000
173.2000,166.2000,169.0300,2.2791,168.8000
174.0000,166.2000,168.9350,2.5660,168.8000
174.4000,166.2000,169.4800,2.5572,169.5000
174.4000,166.2000,169.4650,2.5566,169.8000
174.4000,166.2000,169.2800,2.4338,169.2000
174.0000,165.2000,168.5950,2.3718,168.2000
174.4000,166.2000,168.9000,2.4622,168.7000
174.4000,166.2000,169.3450,2.3716,169.4000
174.4000,165.2000,169.4600,2.4915,169.4000
174.4000,166.2000,168.8950,2.3001,168.8000
174.4000,166.2000,169.2400,2.3137,168.7000
174.4000,166.2000,169.0750,2.6747,169.1000
173.4000,166.2000,169.0000,2.3040,168.8000
173.8000,164.2000,169.3500,2.6274,169.3000
174.4000,163.4000,168.6300,2.8273,167.8000
174.4000,166.2000,169.3300,2.3884,168.8000
174.4000,163.6000,168.8600,2.8379,167.9000
174.4000,164.8000,169.2350,2.6571,168.7000
174.0000,166.2000,169.2850,2.4035,168.8000
174.0000,166.2000,168.9400,2.5042,168.4000
174.0000,166.2000,169.1500,2.4147,168.9000
174.4000,157.0000,169.1400,3.5717,169.1000
173.2000,166.2000,169.2550,2.3552,169.3000
174.4000,166.2000,169.0150,2.5941,168.8000
174.4000,166.2000,169.3750,2.3971,169.2000
174.0000,165.6000,169.0100,2.6172,168.8000
174.4000,166.2000,168.8950,2.4672,168.6000
